imdb_rating,imdb_num_votes,critics_score,audience_score,runtime,genre,mpaa_rating,best_pic_win
7,79866,67,71,127,Other,PG-13,no
7.6,160237,92,88,83,Animation,G,no
6.3,24595,49,50,94,Action & Adventure,PG,no
7,16883,89,70,112,Art House & International,Unrated,no
8.4,390,95,92,93,Documentary,PG,no
6.9,19539,42,70,91,Horror,R,no
5.7,48718,53,38,116,Action & Adventure,PG,no
6.1,26301,49,44,89,Horror,Unrated,no
7,26943,56,80,124,Musical & Performing Arts,R,no
6.7,4077,40,66,94,Drama,PG-13,no
6.2,63511,22,55,103,Drama,R,no
7.5,27601,90,79,80,Drama,PG,no
7.7,756602,88,69,194,Drama,PG-13,yes
7.8,3998,93,91,94,Documentary,R,no
6,19898,46,38,112,Drama,R,no
6.9,10786,68,67,107,Drama,R,no
6.9,2857,71,58,97,Drama,PG-13,no
7.8,9675,88,89,89,Documentary,Unrated,no
7.6,7545,87,88,91,Drama,R,no
4.5,2113,9,52,82,Comedy,R,no
7.5,3448,100,89,90,Drama,R,no
6,2441,46,55,100,Drama,R,no
6.2,12402,63,53,108,Drama,PG-13,no
5.7,3373,25,65,90,Action & Adventure,PG,no
4.9,6322,14,33,96,Comedy,PG,no
7.3,9906,63,74,91,Documentary,Unrated,no
7.2,15025,91,78,113,Drama,PG,no
7.1,30826,77,73,95,Comedy,R,no
7.9,309896,93,89,134,Drama,PG-13,no
5.4,7284,7,35,104,Horror,R,no
6.7,58907,67,70,121,Mystery & Suspense,R,no
5.6,57251,11,48,112,Action & Adventure,PG-13,no
2.8,3790,8,18,85,Animation,G,no
5.7,8818,26,41,119,Drama,R,no
4.3,11125,6,22,99,Mystery & Suspense,R,no
7.3,675907,84,81,142,Drama,PG-13,no
4.9,2120,40,35,95,Drama,R,no
6.8,111132,35,73,99,Drama,PG,no
8.1,103378,94,95,133,Drama,R,no
6.1,13682,17,37,100,Drama,R,no
5.9,63672,19,40,99,Mystery & Suspense,PG-13,no
7.1,6946,85,72,112,Drama,R,no
6.4,3584,38,55,136,Drama,PG,no
5.3,54363,27,65,92,Animation,PG,no
7.7,11197,95,81,103,Musical & Performing Arts,PG,no
7.4,96787,90,81,114,Drama,R,no
6.8,16366,77,73,88,Mystery & Suspense,PG,no
7.2,134270,88,74,88,Drama,G,no
5.2,11657,36,35,116,Drama,PG,no
5.9,8345,44,26,97,Drama,PG,no
6.7,46794,29,81,82,Comedy,R,no
5.9,10087,80,52,87,Action & Adventure,R,no
5.8,66054,31,34,120,Action & Adventure,PG,no
4.2,43574,17,51,97,Comedy,PG-13,no
